algorithm_name,run_id,TOTAL_TAGS,BER,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,Recall,BER_Percent,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
Ours (Voting),15,1000,0.0,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,0.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Ours (Voting),16,1000,0.0,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,0.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),13,1000,0.0,281945.0,0.281945,0.0,62,0,62,0,0.0,1.0,0.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),17,1000,0.0,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,0.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),14,1000,0.0,281945.0,0.281945,0.0,62,0,62,0,0.0,1.0,0.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),18,1000,0.0,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,0.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),15,1000,0.0,281945.0,0.281945,0.0,62,0,62,0,0.0,1.0,0.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),19,1000,0.0,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,0.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),16,1000,0.0,281945.0,0.281945,0.0,62,0,62,0,0.0,1.0,0.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),0,1000,0.005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,0.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),18,1000,0.0,281945.0,0.281945,0.0,62,0,62,0,0.0,1.0,0.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),1,1000,0.005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,0.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),17,1000,0.0,281945.0,0.281945,0.0,62,0,62,0,0.0,1.0,0.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),2,1000,0.005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,0.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Ours (Voting),3,1000,0.005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,0.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),19,1000,0.0,281945.0,0.281945,0.0,62,0,62,0,0.0,1.0,0.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),4,1000,0.005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,0.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),0,1000,0.005,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9733333333333334,0.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Baseline (Without Voting),1,1000,0.005,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9722222222222222,0.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),5,1000,0.005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,0.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),2,1000,0.005,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9744444444444444,0.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),6,1000,0.005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,0.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Ours (Voting),7,1000,0.005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,0.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),3,1000,0.005,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9866666666666667,0.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Baseline (Without Voting),4,1000,0.005,281945.0,0.281945,0.0,62,0,62,0,0.0,0.98,0.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),8,1000,0.005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,0.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),5,1000,0.005,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9811111111111112,0.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),9,1000,0.005,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,0.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),6,1000,0.005,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9822222222222222,0.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),10,1000,0.005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,0.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),7,1000,0.005,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9866666666666667,0.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),11,1000,0.005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,0.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),8,1000,0.005,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9822222222222222,0.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),12,1000,0.005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,0.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Ours (Voting),13,1000,0.005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,0.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),9,1000,0.005,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9788888888888889,0.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Baseline (Without Voting),10,1000,0.005,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9833333333333333,0.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),14,1000,0.005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,0.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),11,1000,0.005,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9766666666666667,0.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),15,1000,0.005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,0.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),12,1000,0.005,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9844444444444445,0.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),16,1000,0.005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,0.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),13,1000,0.005,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9788888888888889,0.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),17,1000,0.005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,0.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),14,1000,0.005,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9844444444444445,0.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),18,1000,0.005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,0.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),15,1000,0.005,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9866666666666667,0.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),19,1000,0.005,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,0.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),16,1000,0.005,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9833333333333333,0.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),0,1000,0.01,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,1.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),17,1000,0.005,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9811111111111112,0.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),1,1000,0.01,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,1.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),18,1000,0.005,281945.0,0.281945,0.0,62,0,62,0,0.0,0.98,0.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),2,1000,0.01,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,1.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),19,1000,0.005,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9877777777777778,0.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),3,1000,0.01,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,1.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),0,1000,0.01,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9588888888888889,1.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),4,1000,0.01,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,1.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),1,1000,0.01,281945.0,0.281945,0.0,62,0,62,0,0.0,0.97,1.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),5,1000,0.01,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,1.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),2,1000,0.01,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9788888888888889,1.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),6,1000,0.01,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,1.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),3,1000,0.01,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9611111111111111,1.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),7,1000,0.01,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,1.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Ours (Voting),8,1000,0.01,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9955555555555555,1.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),4,1000,0.01,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9511111111111111,1.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Baseline (Without Voting),5,1000,0.01,281945.0,0.281945,0.0,62,0,62,0,0.0,0.96,1.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),9,1000,0.01,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,1.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),6,1000,0.01,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9611111111111111,1.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Baseline (Without Voting),7,1000,0.01,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9588888888888889,1.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),10,1000,0.01,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,1.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Ours (Voting),11,1000,0.01,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,1.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),8,1000,0.01,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9477777777777778,1.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),12,1000,0.01,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,1.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),9,1000,0.01,281945.0,0.281945,0.0,62,0,62,0,0.0,0.97,1.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),13,1000,0.01,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,1.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Ours (Voting),14,1000,0.01,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9977777777777778,1.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),10,1000,0.01,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9655555555555555,1.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Baseline (Without Voting),11,1000,0.01,281945.0,0.281945,0.0,62,0,62,0,0.0,0.96,1.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),15,1000,0.01,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,1.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),12,1000,0.01,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9611111111111111,1.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),17,1000,0.01,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,1.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Ours (Voting),16,1000,0.01,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,1.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),13,1000,0.01,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9477777777777778,1.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Baseline (Without Voting),14,1000,0.01,281945.0,0.281945,0.0,62,0,62,0,0.0,0.97,1.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
